"I would give no stars if I could. When we received this product it was supposed to be ""new"" but it was clearly used. There were sticky fluids on the drip tray. Also, inside of the water reservoir smelled like wet towel. When I ran it empty, the water did not come out clear, instead there were coffee grounds remaining from whoever used it last. I am EXTREMELY disappointed.Additionally it did not come with some of the included items such as the 4 count K-cup and no extra filters. I am going to definitely return this product. This is really unacceptable.",Complaint re: Product
Works great. Build quality obviously cheap. Buy the 3 year warranty for $7. No clue if it will make 4 cups of coffee for the next three years or not...but who cares if you have a warranty and can replace through Amazon.,Satisfied
Great for an apartment or house where coffee is had occasionally. I love this Keurig because it hold the perfect amount of water to last me a couple of days and it is very versitile. It is not heavy or hard to move. It's easy to use and there are so many k-cup options.Perfect size for 1-3 people drinking coffee or tea moderatley without having to refill the tank every day. I would also reccommend getting the reusable k-cup from Keurig that will allow you to put your own ground coffee in the container and brew a single cup. Best Keurig for the value I believe.,Overjoyed/Praise
"This was a present to me and I couldn't be happier. I've had zero issues with this brewer, making 2-3 cups of coffee daily. Refillable k-cups brew perfectly, so do any disposable k-cup drinks I brew. This model doesn't have the sensor for 'real' kcups which is one of the reasons I chose it. I do wish the water reservoir was a little bigger, but it's not really that big of a deal having to refill it every other day. It sure beats making a pot of drip coffee every morning. I also loved my 4-cup sample pack. 3 coffees and 1 hot chocolate. :) I'm very pleased with this brewer, and I don't have issues with my coffee splattering on the machine like I see some people having. But I generally make the two bigger-sized coffees and the liquid has less distance to drop.",Overjoyed/Praise
We got out first keurig second hand because someone was throwing one away because they got a new one. I would have never bought one new before but now we can't love without it. It makes coffee and tea making so much quicker and easier.  We bought this version for my parents and in-laws after we fell in love with ours. None of us needed anything super fancy so this basic model is great. My husband loves being able to make a cup in the morning even if he's running late because it's so fast and easy. My mom loves it because for the first time in 50yrs she doesn't have to make my dad coffee because he'll do it himself with the keurig.,Overjoyed/Praise
"Been using for a week now and this morning it would not heat so pulled out the manual and there was nothing about what to do about this.  The blue lights came on and I pushed one and it made a very loud noise fro a couple minutes but did not brew.  I turned off, unplugged and waited about 5 minutes and tried again.  This time it worked, so I thought perhaps I'd better register the unit in case I had to have it replaced and read in the manual that the serial number could be found on the bottom of the gift box?, and on the side of the housing behind the water reservoir.  There is no serial number anywhere on the machine and when I unpacked the unit I tossed the box as I do because the serial number is always on the product, so now I have a machine that might be breaking and I will probably not be able to have it repaired or replaced.  In addition, is says it's a K55 but on the bottom it states that it's model K40",Complaint re: Process
"I bought this product on Nov 28th, 2016 (from Amazon.com LLC). The Amazon return window closed on Jan 31, 2017. Guess what... The water stopped filtering through and this Keurig conveniently stopped working on Feb 6, 2017. I even tried running the machine with water several times without a k-cup to no avail. It luckily does carry a 1-year manufacturer's warranty, and I was on the phone nearly an hour with the Keurig Support. The only reason I did not give this a 1 star rating is because Keuring did agree to honor their warranty and send a replacement for their machine. Now it's a wait for 7 more days and a hope that the replacement does work. Although they did replace it, the waste of time and harassment of having to call the coffee maker support within the first 90 days after buying it just isn't worth it.",Complaint re: Process
"We had a K250. The coffee was always warm with high maintenance. It finally stated dumping g a lot of grounds in every cup. We had so many K Cups we had to get another machine. This was top rated on Amazon and it is. Very hot coffee every time, minimal maintenance, like no rinsing after a cup of tea. This makes a great cup of coffee with ease.",Satisfied
This is my third cure. I got the small one first that you had to pour water in for each cup and loved it. Nothing was wrong with it but I wanted a bigger model that had a water reservoir. I wore it out after about 3 1/2 years of daily use. I ordered this one as it look like my old one. However it does not have a programmable timer and clock . I am sure if I'd read the product specifications closer it would've said that but I did not read it well enough. Still I love it. I have not used director coffee pot since my first Keurig.,Satisfied
"Every single cup of coffee smells and tastes like plastic. I followed all of the troubleshooting recommendations, nothing worked. I tried white vinegar, it did not stop the plastic taste. I ran 12 tanks of water through the machine, it did not stop the plastic taste. I searched online for help only to discover that this is an extremely common problem. It has been returned to Amazon for a full refund.",Complaint re: Product
"This is my 4th Keurig coffee maker.  They are made in China.  Quality control is not part of their mfg process.  As a consequence, I get about 18 months of service from my Keurig coffee makers.  I stay with Keurig because I really like the simplicity/variety/quality of coffee I can make with the K-cups",Ambivalent
"I'm a huge fan of this Keurig.  We bought this as an upgrade from a smaller version.  Primarily we wanted a water tank so we could make multiple cups without having to make a trip to the water purifier on our refrigerator.  I only have a few tips to consider...1. If you want a water tank as badly as we did, look for something a bit bigger if they offer it.  I find that I feel like i'm filling this thing up all the time.  I know it's not the case, but I want true lazy mode!2. Make sure you clean it per the instructions every few months, it makes a difference with it's performance.",Overjoyed/Praise
"This is just like my original Keurig coffee pot, then another and then two more different versions!  Went back to the ""original"" and noticed it works a lot faster than the newer fancier versions.  So this one gets my vote!",Overjoyed/Praise
"Stopped working after three or four cups, heating water fine, simply wouldn't let me use it, lights would not blink to select cup size. Returning for replacement will see if after a week the next one does the same.",Complaint re: Product
"Simple to use, but my only complaint is that sometimes it doesn't indicate water is needed until after a brew button has been pushed, so if I push the button and walk away I might come back to see the blue refill light on and no coffee in my cup. It should indicate water is needed before I push the button, and not flash the brew buttons unless there is enough water for the largest cup option.",Ambivalent
I purchased this to replace our Keurig at work.  Many of us use coffees with non-standard pods (environmentally friendly top with a tiny bag underneath or a refillable plastic pod)  A Keurig approved pod with bar code is NOT required so you can use any coffee pod. (the Keurig 2.0s require a Keurig brand approved pod so you can't all coffee pods),Satisfied
"We have been dealing with a Mr. Coffee off brand Keurig. Finally sucked it up and purchased this one.So far we love it. The cup sizes are consistent (if not a little smaller than we'd like) and we love that there is a decent sized reservoir.My boyfriend brews with out a k-cup for hot water for his tea, and I use k-cups and a re-usable k-cup, all situations have worked perfectly!",Overjoyed/Praise
"Please DO NOT BUY this Keurig! I will be returning my second one in a matter of months. It first works fine, though noisy, then it just stops making the coffee. I put in the water, it heats up, I press the button and nothing comes out! This is so very frustrating! I thought Keurig was a good brand, but I was wrong!",Complaint re: Product
"Worth every penny.  This was all for my coffee drinking wife until I discovered junior mint hot cocoa, now me and the kids are in the game.",Overjoyed/Praise
"Had to return because it made cups of tea that tasted and smelled like plastic. I felt like what I was drinking would surely cause me cancer? I love how convenient it is, but not worth it.",Complaint re: Product
"Liked most things about this item, but very disappointed that it does NOT actually generate a ""large"" setting 12oz cup, only 10oz.and there seems to be no way to adjust that limit.  If 10oz is the most you'll ever want, the I do highly recommend this item.",Complaint re: Product
"Purchased this item to replace a similar one received as a gift several years ago which stopped working. This item arrived a few weeks ago and the box had been retaped although not damaged. I wondered if the product was a reconditioned machine although advertised as ""new"". I have had one issue already during use similar to my previous machine's problem. I wonder?",Complaint re: Process
"This model is an upgrade from my previous Keurig. I don't need the fancy programmable screens.  This model is simple, sturdy, attractive and does the job of brewing a hot beverage beautifully. You aren't limited to one brand of k-cups. Every brand I've tried works perfectly.",Overjoyed/Praise
Highly recommend for newly wed or new homes. The only difference with more expensive versions is that they can do k lattes and other sorts which you can brew multiple cups. And i usually find touch screens can usually malfunction. So i decided to go basic and love it!!! Bought the shelving for the k cups and it looks great in my kitchen. Maintenance is super easy which is changing the water filter every 2-3 months. Instructions were pretty easy to follow.,Overjoyed/Praise
"We had the power source,go bad on our last Keurig that we had for at least 3 years. This product we thought would be better since it is a newer model. I hate our new Keurig. It's cheaply made, the hinge that opens for the KCups is weak. The old brewer kept the water hot so when you loaded the KCup it was ready. The new model fills up after you press the dispense button. There is no signal that the water is out until after, so twice now I have walked away and came back to an empty coffee cup because I needed to add water.",Complaint re: Product
"The only thing I like better than coffee is faster coffee!  I am glad to have purchased Keurig Single K-cup pod coffeemaker.  I can now enjoy a rich cup of coffee anytime I want without having to make a whole pot.  My husband loves it too,",Overjoyed/Praise
